Code;Name;ISO_Code
1;Amazonas;AMA
2;Antioquia;ANT
3;Arauca;ARA
4;Atlántico;ATL
5;Bolívar;BOL
6;Boyacá;BOY
7;Caldas;CAL
8;Caquetá;CAQ
9;Casanare;CAS
10;Cauca;CAU
11;Cesar;CES
12;Chocó;CHO
13;Córdoba;COR
14;Cundinamarca;CUN
15;Guainía;GUA
16;Guaviare;GUV
17;Huila;HUI
18;La Guajira;LAG
19;Magdalena;MAG
20;Meta;MET
21;Nariño;NAR
22;Norte de Santander;NSA
23;Putumayo;PUT
24;Quindío;QUI
25;Risaralda;RIS
26;San Andrés y Providencia;SAP
27;Santander;SAN
28;Sucre;SUC
29;Tolima;TOL
30;Valle del Cauca;VAC
31;Vaupés;VAU
32;Vichada;VID
33;Bogotá D.C.;BOG
